Country,Address,Name,State,Review Count,Stars
,876 E Street Rd,Namaste Indian Bistro,PA,93,4.5
,900 8th Ave N,Swagruha Fine Indian Cuisine,TN,64,4
,900 Tiffany Ln,Grande at Indian Lake,TN,5,2
,901 Golden Ln,Reno-Sparks Indian Colony Smoke Shop Reno Drive Thru,NV,6,4
,902 E Brandon Blvd Brandon,India's Grill Brandon - Authentic Indian Cuisine,FL,47,4.5
,903 Gulf Blvd,Indian Rocks Beach Nature Preserve,FL,10,4
,910 Haddonfield-Berlin Rd,Coriander Indian Bistro,NJ,217,4
,"916 E Main St, Ste 111",Carlson Gracie Indianapolis Jiu Jitsu,IN,8,5
,"918 Fry Rd, Ste A",Acupuncture Pain Relief Centers Of Indiana,IN,5,2.5
,"923 Metairie Rd, Ste C",Taj Mahal Indian Cuisine,LA,208,3.5
,949 N Keystone Way,A A Indiana Driving School,IN,16,3
,969 Bethlehem Pike,Indian Grill,PA,63,3.5
,970 Dekalb Pike,Nirvana Indian Bistro,PA,20,4.5
,1003 1/2 W Lancaster Ave,Ekta Indian Cuisine,PA,193,4
,1003 8th Ave S,Music City Indian Motorcycle,TN,13,4.5
,1025 Westbank Expy,Turmeric Indian Cuisine,LA,120,4.5
,1029 Fletcher Ave,Keep Indianapolis Beautiful,IN,20,5
,1043 Broad Ripple Ave,Shalimar Indian Restaurant,IN,199,4
,1077 S Rangeline Rd,Indiana Tattoo Company,IN,24,5
,1100 Southfield Dr,The Dermatology Center of Indiana,IN,8,3.5
,"1102 Baltimore Pike, Ste 131",Saffron Indian Market,PA,8,4
,1103 3rd Ave SW,Crossfit Indianapolis,IN,7,5
,1125 E Brookside Ave,Fowling Warehouse Indianapolis,IN,25,5
,1131 Shelby St,Indiana Residential,IN,6,4.5
,1140 Shelby St,BrewDog Indianapolis,IN,136,4.5
,1142 Crease St,Ekta Indian Cuisine,PA,436,4
,1152 N White River Pkwy W Dr,Candlewood Suites Indianapolis Dwtn Medical Dist,IN,20,3.5
,"1160 W Michigan St, Ste 100",Indianapolis Eye Care Center,IN,8,3.5
,1190 N Graham Rd,Candlewood Suites Indianapolis - South,IN,13,3
,"1200 W 38th St, Ste 2X",Indianapolis Museum of Art Administation Offices,IN,5,4
,1200 W Washington St,Indianapolis Zoo,IN,365,4
,1201 Central Ave,Indiana Landmarks Center,IN,27,4.5
,1202 E 38th St,Indiana Artisan Marketplace,IN,20,4.5
,,Indiana Farmers Coliseum,IN,46,4
,,Indiana Flower + Patio Show,IN,8,3
,,Indiana State Fair Covered Bridge,IN,5,4.5
,,Indiana State Fairgrounds & Event Center,IN,262,4
,,Indianapolis International Festival,IN,7,3.5
,1210 W 86th St,Once Upon A Child - Indianapolis,IN,24,3
,1219 Kingsway Rd,Martin's Indian Cuisine,FL,30,4.5
,1227 Haddonfield Berlin Rd,Munsalwa Pakistani & Indian Restaurant,NJ,21,4
,1229 Country Club Rd,Window World of Indianapolis,IN,20,3
,"1251 US 31 N, Ste 120",Gutty’s Comedy Club - Indiana,IN,10,5
,1253 Churchmans Rd,Indian Hut,DE,22,2.5
,1281 S Park Dr,La Quinta by Wyndham Indianapolis Greenwood,IN,24,3
,1301 Gulf Blvd,Indian Rocks Tackle & Dive Center,FL,7,4.5
,1320 N Post Rd,Indianapolis Oral Surgery & Dental Implant Center,IN,11,2.5
,1335 West Main St,Fairfield Inn & Suites by Marriott Indianapolis Carmel,IN,5,3
,1400 E Hanna Ave,University of Indianapolis,IN,9,4
,"1400 Haddonfield-Berlin Rd, Ste 114",Indian Villa Curry-N-Cakes,NJ,68,3
,1400 Madison Ave,Indiana Bmv - Madison Ave License Branch,IN,30,5
,1410 N Delaware St,The Indianapolis Propylaeum,IN,42,3
,"1420 West Main St, Ste D",Fresh Indian Grill,IN,264,4.5
,1430 N Illinois St,U-Haul Moving & Storage of Downtown Indianapolis,IN,7,3
,1451 S W St,Indiana Mulch & Stone,IN,11,3.5
,1507 Bay Palm Blvd,Indian Rocks Beach,FL,146,4.5
,1518 Chestnut St,Amma's South Indian Cuisine,PA,301,4
,1533 S 11th St,The Palace of Indian,PA,88,4
,1540 Brookville Crossing Way,Baymont by Wyndham Indianapolis,IN,31,2.5
,1601 Columbia Ave,Greek’s Pizzeria-  Indianapolis,IN,83,5
,1634 South St,Indian Restaurant,PA,328,3.5
,1701 E 8th Ave,Rasoi Indian Cuisine,FL,218,4.5
,1764 E 116th St,Indianapolis Brazilian Jiu-Jitsu,IN,5,4.5
,1849 Wolf St,Saffron Patch - Authentic Indian Restaurant,PA,64,4
,1901 N Meridian St,Eye Specialists of Indiana,IN,13,5
,1910 McKelvey Rd,Priyaa Indian Cuisine,MO,131,4
,1920 Chestnut St,Veda - Modern Indian Bistro,PA,465,4
,1939 Arch St,Thanal Indian Tavern,PA,240,4.5
,1950 W 86th St,Eye Specialists Of Indiana,IN,5,3.5
,1962 Pyramid Way,Reno-Sparks Indian Colony Smokeshop Sparks,NV,8,2.5
,1967 Norristown Rd,Kurinji Indian Cuisine,PA,38,4.5
,1967 Street Rd,Indian Hut-Bensalem,PA,110,3
,2001 E 2nd St,Reno-Sparks Indian Colony Smokeshop Reno,NV,5,3.5
,2001 W 86th St,St. Vincent Indianapolis - Hospital & Health Care Center,IN,45,3.5
,2025 Indian Rocks Rd,Largo Medical Center Indian Rocks,FL,8,3.5
,2102 N Illinois St,Indianapolis Power & Light Company,IN,20,1.5
,2150 North Post Road,Days Inn by Wyndham Indianapolis East Post Road,IN,14,1
,"2169 Glebe St, Ste 200",The Barre Code Indianapolis - Carmel,IN,5,5
,"2222 Cunningham Rd, Ste 2",Real Property Management - Indianapolis Metro,IN,6,1
,2244 E Perry Rd,Hampton Inn Indianapolis-SW/Plainfield,IN,11,3.5
,2251 Manchester Dr,La Quinta by Wyndham Indianapolis Airport West,IN,23,2
,2264 E Perry Rd,Homewood Suites by Hilton Indianapolis-Airport/Plainfield,IN,19,3
,2302 Oddie Blvd,A-1 Indian Grocery - Appliances & Video,NV,5,4.5
,2303 Ellwood Drive SW,Zaika Indian Bistro & Bar,AB,82,4
,2314 N Meridian St,Mercedes-Benz of Indianapolis,IN,21,2.5
,2319 Distributors Dr,Indiana Realty Partners,IN,5,1
,2349 Post Dr,La Quinta Inn by Wyndham Indianapolis East-Post Drive,IN,42,2
,2400 E Grant Rd,Mac's Indian Jewelry,AZ,16,4.5
,2501 E 86th St,Homewood Suites by Hilton Indianapolis-Keystone Crossing,IN,40,3
,2501 S High School Rd,Crowne Plaza Indianapolis-Airport,IN,88,3
,2544 Executive Dr,Nicolino's Restaurant - Wyndham Indianapolis,IN,55,2.5
,2544 Executive Drive,Wyndham Indianapolis West,IN,118,2.5
,2577 Kentucky Ave,Best Way Disposal Indianapolis,IN,6,1
,2600 Lasalle St,Mardi Gras Indian Super Sunday Parade,LA,8,5
,2600 S Harding St,Indianapolis Animal Care Services,IN,32,3.5
,2601 South MacDill Ave,Flames Indian Cuisine,FL,282,4.5
,2602 Fortune Circle E,Courtyard by Marriott Indianapolis Airport,IN,35,3.5
,2631 S Lynhurst Dr,Red Roof Inn & Suites Indianapolis Airport,IN,33,1.5
,2635 Planes Dr,Planes Moving & Storage - Indianapolis,IN,13,2
,2650 Executive Dr,La Quinta Inn by Wyndham Indianapolis Airport Executive Dr,IN,29,3
,2706 Ridge Pike,Indian Hut Curry and Cakes,PA,31,3
,2721 E 86th St,Ironworks Hotel Indianapolis,IN,83,4.5
,"2721 E 86th St, Ste 120",RIZE - Indianapolis,IN,344,4.5
,"2727 E 86th St, Ste 115",Orangetheory Fitness Indianapolis - Ironworks at Keystone,IN,61,5
,2730 Fortune Circle W.,Extended Stay America - Indianapolis - Airport,IN,19,2
,2734 E Fowler Ave,Taj Indian Cuisine,FL,180,3.5
,2750 Fortune Circle West,Comfort Suites Near Indianapolis Airport,IN,20,3.5
,2779 Gulf To Bay Blvd,Indian Bistro,FL,241,4
,2801 Country Club Rd,Country Club of Indianapolis,IN,7,4
,2817 W Girard Ave,Jyoti Indian Bistro,PA,8,4
,2820 N Meridian St,Indianapolis Monthly - Best New Restaurants 2019 Event,IN,6,5
,2909 Concord Pike,Bawarchi Indian Restaurant,DE,101,3.5
,3000 N Meridian St,The Children's Museum of Indianapolis,IN,438,4.5
,"3003 E 98th St, Ste 241",Indianapolis Periodontal & Dental Implant Associates,IN,6,4.5
,3116 S I-10 Service Rd E,Mantra Indian Cuisine,LA,88,4.5
,3146 - 141 Street SW,Indian Chef Executive Take Out,AB,8,3.5
,3200 Cold Spring Rd,Marian University Indianapolis,IN,8,4
,3202 E 76th St,Somerset Lakes Apartments in Indianapolis,IN,6,4
,3209 W Smith Valley Rd,Masters Heating & Cooling Indianapolis,IN,5,4
,3210 E 96th St,Penske Chevrolet - Indianapolis,IN,74,3.5
,"3223 E Louise Dr, Ste 106",Spice Indian Cuisine,ID,142,4
,3240 N Broad St,Saffron Indian Cuisine,PA,66,2.5
,3270 Kirkbride Way,Indiana Medical History Museum,IN,49,5
,3300 Fairmount Ave,Twisted Indian Wraps,PA,17,4
,3300 S Vista Ave,Saffron Indian Bar & Grill,ID,99,4
,3309 West 96th St,Animal Allergy & Dermatology Center of Indiana,IN,6,5
,3326 Limekiln Pike,Aman's Indian Bistro,PA,212,4
,3400 Bethlehem Pike,Indian Valley Camping Center,PA,8,3
,3415 W End Ave,Woodlands Indian Vegetarian Cuisine,TN,419,4
,3450 N Meridian St,Versiti Blood Center of Indiana,IN,16,4
,"3456 Bethlehem Pike, Fl 2","CHOP Primary Care, Indian Valley",PA,5,3
,3500 Kingshighway,Indian Mounds Golf Course,IL,6,3
,3500 W 106th St,Indianapolis Greek Festival,IN,24,4.5
,3514 South Keystone Ave,Comfort Inn Indianapolis South I-65,IN,10,2.5
,3553 Founders Rd,Hawthorn Suites By Wyndham Indianapolis North,IN,17,2
,3585 Commercial Dr,Indiana Discount Mall,IN,11,3.5
,3645 E 96th St,Eddie Merlot's - Indianapolis,IN,237,4
,3645 River Crossing Pkwy,Marriott Indianapolis North,IN,73,3.5
,3651 Lancaster Ave,Indian Sizzler,PA,57,4
,3660 Guion Rd,Indianapolis Healthplex,IN,30,4
,3733 N Meridian St,Indiana Youth Group,IN,5,5
,3737 E 96th St,Merchants Bank of Indiana,IN,5,2
,3737 Waldemere Ave,Gleaners Food Bank of Indiana,IN,25,5
,3744 N High School Rd,studio 6 Indianapolis Speedway,IN,6,3
,3746 Sansom St,Indian Food Truck,PA,14,2
,"3750 Guion Rd, Ste 280",Indianapolis Endodontics,IN,10,5
,"3780 Tampa Rd, Ste D2",Desi Tadka Indian Cuisine,FL,169,4
,3801 Lafayette Rd,Harold's Chicken Shack - Indianapolis,IN,31,3.5
,3815 E 96th St,Cooper's Hawk Winery & Restaurant - Indianapolis,IN,669,4
,3850 Eagle View Dr,Baymont by Wyndham Indianapolis West,IN,27,2
,3855 E 96th St,The Hot Room Indianapolis,IN,96,4.5
,"3880 Pendleton Way, Ste 100",Indianapolis Window Tinting,IN,11,4
,3880 West 92nd St,La Quinta Inn by Wyndham Indianapolis North at Pyramids,IN,24,2.5
,3910 Payne Branch Road,Days Inn & Suites by Wyndham Northwest Indianapolis,IN,23,2
,3912 Vincennes Rd,Embassy Suites by Hilton Indianapolis North,IN,71,3
,3935 E Southport Rd,Aspen Dental - Indianapolis,IN,12,1.5
,3943 Nolensville Pike,Taj Indian Restaurant,TN,388,4.5
,3965 E 82nd St,Elements Massage - Indianapolis North,IN,20,4
,4004 Chestnut St,New Delhi Indian Restaurant,PA,514,4
,"4033 East Southport Rd, I-65 to Exit 103",Super 8 by Wyndham Indianapolis,IN,22,2.5
,4037 N Oracle Rd,Indian Motorcycle - Tucson,AZ,10,4.5
,4040 Industrial Blvd,Benjamin Franklin Plumbing of Indianapolis,IN,16,3
,,Mister Sparky of Indianapolis,IN,9,2.5
,,One Hour Heating & Air Conditioning - Indianapolis,IN,42,1.5
,4047 Nolensville Pike,Surati Indian Street Food,TN,42,4.5
,4048 W 94th St,PetSuites Indianapolis Northwest,IN,24,4
,4050 Meadows Pkwy,Indiana Bureau of Motor Vehicles,IN,9,5
,4101 Edgmont Ave,Rebel Indian Smoke Shop,PA,7,3.5
,4140 W 94th St,Homewood Suites by Hilton Indianapolis Northwest,IN,14,3.5
,4308 Magazine St,Nirvana Indian Cuisine,LA,389,3.5
,4325 S Meridian St,AMC Indianapolis 17,IN,72,3.5
,4325 Southport Crossings Way,Country Inn & Suites by Radisson - Indianapolis,IN,16,1.5
,"4330 Hull St, Ste 100",SHOPro of Indiana,IN,10,3
,"4330 N Campbell Ave, Ste 73",Bahti Indian Arts,AZ,5,5
,4402 E Creek View Dr,Baymont Inn & Suites Indianapolis South,IN,6,1
,4402 E Creekview Dr,Baymont by Wyndham Indianapolis South,IN,12,2
,4425 Main St,Laxmi Indian Grille - Manayunk,PA,203,4
,4504 Southport Crossing Dr,Fairfield Inn by Marriott Indianapolis South,IN,13,3.5
,"4530 S Emerson Ave, I-465, Exit 52",Super 8 by Wyndham Indianapolis,IN,10,3
,"4586 S Emerson Ave, Ste B",Sport Clips Haircuts of Indianapolis - 465 & Emerson,IN,6,4.5
,4601 N College Ave,Root & Bone Indianapolis,IN,300,4.5
,4610-B E 96th St,Audi Indianapolis,IN,37,3.5
,4620 E 96th St,Land Rover Indianapolis,IN,51,2.5
,4621 Ogletown Stanton Rd,Little Spice Indian Cuisine,DE,10,4.5
,4629 Northwestern Dr,Ducati Indianapolis,IN,9,4.5
,4630 E 96th St,Tom O'Brien Chrysler Jeep Dodge Ram - Indianapolis,IN,62,3
,,Tom O'Brien Chrysler Jeep Dodge Ram Service - Indianapolis,IN,7,1.5
,4660 E Camp Lowell Dr,Indian Twist,AZ,383,4.5
,4700 Umatilla Ave,Indian Lakes Golf Club Pub & Grill,ID,6,3.5
,4715 E 96th St,Joella's Hot Chicken - Indianapolis,IN,506,4
,4750 W 16th St,Indianapolis Motor Speedway,IN,214,4.5
,,Indianapolis Motor Speedway Museum,IN,91,4.5
,4825 E 96th St,Aqua-Tots Swim Schools North Indianapolis,IN,5,5
,4843 W Kennedy Blvd,Curry Leaves Indian Cuisine,FL,695,4.5
,4843 West Chester Pike,Spice Indian Thai Bistro,PA,174,4
,4855 Kentucky Ave,NASCAR Car Wash Indianapolis,IN,6,1.5
,4901 E 82nd St,Catello’s Italian Art Cuisine - Indianapolis,IN,81,4.5
,4905 W 38th St,Uncle Bill's Pet Centers West Indianapolis,IN,19,2
,4909 Knights Way,Knights Inn Indianapolis,IN,17,1.5
,4930 Southport Crossing Pl,Indianapolis Southside Harley-Davidson,IN,19,4
,4967 S Emerson Ave,Indianapolis Jiu Jitsu Coach,IN,5,4
,5000 W 96th St,Architectural Antiques of Indianapolis,IN,6,4
,5012 Thoroughbred Ln,Amaravati Indian Cuisine,TN,108,4.5
,5016 E 62nd St,A Taste of Indiana,IN,16,4.5
,5055 Broadway Place,Saffron The Indian Kitchen,TN,41,4
,5120 Victory Dr,La Quinta by Wyndham Indianapolis South,IN,36,2.5
,"5144 East Stop 11 Rd, Ste 22",Allergy Partners of Central Indiana,IN,5,1.5
,5151 E 82nd St,Wine and Canvas - Indianapolis North,IN,21,4
,5151 S E St,Holiday Inn Express Indianapolis South,IN,41,3
,5215 Noggle Way,Home2 Suites by Hilton Indianapolis South Greenwood,IN,19,3.5
,5220 West Southern Avenue,Fairfield Inn & Suites by Marriott Indianapolis Airport,IN,23,3
,5221 Victory Dr,Red Roof Inn Indianapolis South,IN,25,2
,5224 West Southern Avenue,Residence Inn by Marriott Indianapolis Airport,IN,28,3.5
,5241 W Bradbury Ave,OYO Hotel Indianapolis International Airport,IN,11,1
,"5245 Vista Blvd, Ste F-1",Bawarchi Indian Cuisine,NV,209,4.5
,5250 Noggle Way,Residence Inn Indianapolis South/ Greenwood,IN,6,3
,5250 W Bradbury Ave,Candlewood Suites Indianapolis Airport,IN,19,2.5
,"5252 E 82nd St, Ste 203",DentalSpa Indianapolis,IN,20,3.5
,5255 Noggle Way,Hilton Garden Inn Indianapolis South/Greenwood,IN,26,3.5
,5302 Victory Dr,Holiday Inn Express Indianapolis - Southeast,IN,32,3
,5316 West Southern Ave,La Quinta Inn by Wyndham Indianapolis Airport Lynhurst,IN,52,2.5
,5325 E Thompson Rd,VASA Fitness - Indianapolis,IN,20,3
,5330 E Stop 11 Rd,Indiana Heart Physicians,IN,5,5
,"5335 N Tacoma Ave, Ste 19",Treeo Tree Service - Indianapolis,IN,17,4
,5350 W. Southern Ave,Extended Stay America - Indianapolis - Airport,IN,18,1.5
,5353 W 38th St,Auto Glass Now® Indianapolis,IN,35,3.5
,5401 E Thompson Rd,Car-X Tire & Auto - Indianapolis,IN,16,2.5
,5405 N Keystone Ave,"The Human Bean Indianapolis, N. Keystone Ave",IN,30,4.5
,5425 Thompson Rd,Mela Indian Restaurant,IN,17,4.5
,"5471 Georgetown Rd, Ste C",Podiatry Associates of Indiana Foot and Ankle Institute,IN,6,2
,5500 W Bradbury Ave,Hyatt Place Indianapolis Airport,IN,59,4
,5538 W Raymond St,College Hunks Hauling Junk & Moving - Indianapolis SW,IN,11,4
,5592 Windermere Boulevard NW,Khazana Indian Express N Pizza,AB,6,4.5
,5630 Flight School Dr,Country Inn & Suites by Radisson - Indianapolis Airport,IN,28,2.5
,"5653 W 73rd St, Ste 104",1-800-GOT-JUNK? Indianapolis,IN,10,4.5
,5701 Elmwood Ave,Colerain Family RV - Indianapolis,IN,20,3
,"5701 Elmwood Ave, Ste A",Marine Center of Indiana,IN,11,2
,5701 W 85th St,Bath Fitter of Indianapolis,IN,5,2.5
,5755 N. German Church Rd,Baymont by Wyndham Indianapolis Northeast,IN,17,2.5
,"5777 Decatur Blvd, Ste 300",Two Men and a Truck Indianapolis West,IN,16,3.5
,5796 Calle Real,Masala Spice Indian Cuisine,CA,245,4
,5797 Rockville Rd,Wingate By Wyndham Indianapolis,IN,46,2.5
,5802 West 71st St,TownePlace Suites Indianapolis Park 100,IN,16,4
,5815 Rockville Road,Microtel Inn & Suites by Wyndham Indianapolis Airport,IN,21,3
,"5815 W Arizona Pavillions Dr, Ste 155",Spice Garden Indian Cuisine,AZ,105,4.5
,5820 E 82nd St,Best Buy - Indianapolis,IN,56,2.5
,5855 Rockville Rd,Holiday Inn Express & Suites Indianapolis W - Airport Area,IN,31,2.5
,5860 Fortune Cir W,Delta Hotels by Marriott Indianapolis Airport,IN,12,3
,5860 W 73rd St,Hampton Inn Indianapolis Northwest - Park 100,IN,25,3.5
,5896 W 200 N,Indianapolis KOA,IN,43,3.5
,5905 W 86th St,Fairfield Inn & Suites Indianapolis Northwest,IN,14,3.5
,5929 E 82nd St,Amber Indian Restaurant,IN,23,3.5
,5971 E 82nd St,CPR Cell Phone Repair Indianapolis - Castleton,IN,10,3.5
,6005 S Main St,"Hampton Inn Indianapolis NW/Zionsville, IN",IN,17,2.5
,6010 Gateway Dr,Baymont by Wyndham Plainfield/ Indianapolis Arpt Area,IN,25,2
,6032 E 21st St,Indianapolis Army Navy,IN,5,3
,6064 S Main St,Holiday Inn Express & Suites Indianapolis NW - Zionsville,IN,5,3
,6089 Clarks Creek Rd,Embassy Suites by Hilton Plainfield Indianapolis Airport,IN,13,4
,6101 Delmar Blvd,Gokul Indian Restaurant,MO,181,4
,6105 Cambridge Way,Quality Inn Plainfield - Indianapolis West,IN,11,2
,"6280 N College Ave, Ste 400",Pure Barre - Indianapolis,IN,15,4.5
,6295 Cambridge Way,Staybridge Suites Indianapolis-Airport,IN,16,4
,6296 Cambridge Way,Holiday Inn Express Indianapolis Airport,IN,10,2.5
,6501 N Meridian St,Indianapolis Hebrew Congregation,IN,6,4.5
,"6525 E 82nd St, Ste 110",Main Street Renewal - Indianapolis,IN,12,2
,6639 Whitestown Pkwy,The Dermatology Center of Indiana,IN,8,2.5
,6817 E 82nd St,Hampton Inn Indianapolis-Ne/Castleton,IN,26,2.5
,6851 Madison Ave,Christys of Indiana,IN,6,4
,6886 Hawthorn Park Dr,Mr. Rooter Plumbing of Indianapolis and Central Indiana,IN,11,2.5
,6905 S 525th E,Golf Club of Indiana,IN,23,3.5
,,The Cardinal Room At Golf Club of Indiana,IN,8,4
,6930 Intech Blvd,Hilton Garden Inn Indianapolis Northwest,IN,42,3.5
,6930 W State St,Madhuban Indian Cuisine,ID,190,4
,"6985 W 38th St, Ste 100",MyEyeDr - Indianapolis,IN,7,2.5
,6990 East 21st St,Rodeway Inn Indianapolis I-70,IN,19,1.5
,7035 Western Select Dr,Holiday Inn Express & Suites Indianapolis - East,IN,29,2.5
,7040 E 21st St,Candlewood Suites Indianapolis East,IN,19,3.5
,"7045 Emblem Dr, Ste D",9Round - Indianapolis,IN,7,4
,7045 Mcfarland Blvd,Hampton Inn Indianapolis-South,IN,31,3.5
,7110 East 21st St,Fairfield Inn & Suites Indianapolis East,IN,16,4
,7110 W 10th St,Indiana Members Credit Union,IN,5,3.5
,7202 East 21st Street,Indianapolis Marriott East,IN,86,3.5
,"7202 East 82nd Street, I-69/82nd St - Castleton",Super 8 by Wyndham Indianapolis/NE/Castleton Area,IN,11,1.5
,7205 N Shadeland Ave,Walker-Dixon Orthodontics - Indianapolis,IN,8,4
,7220 Germantown Ave,Jyoti Indian Bistro,PA,95,3.5
,7220 Woodland Dr,Best Western Plus Indianapolis NW Hotel,IN,6,2
,7226 Woodland Dr,Courtyard by Marriott Indianapolis Northwest,IN,15,3
,"7250 Clearvista Dr, Ste 180",Community Eye Care of Indiana,IN,7,3
,7304 E 21st St,Delta Hotels Indianapolis East,IN,7,3.5
,7305 E 96th St,Sport Clips Haircuts of Indianapolis - 96th Street,IN,9,4.5
,7314 E 21st St,Red Roof Inn Indianapolis East,IN,6,2
,7383 Shadeland Ave,Indiana Hearing Aid Company,IN,5,4
,7415 Us-31 S,Clay Oven Indian Restaurant,IN,126,4
,7450 N Michigan Rd,Edward's Transmissions And Auto Systems Expert - Indianapolis,IN,8,2
,7455 Woodland Drive,Candlewood Suites Indianapolis Northwest,IN,47,4.5
,7483 Runningbrook Ct,Indiana Wedding Design,IN,13,2
,"7525 E 39th St, Ste 800",Junk King Indianapolis,IN,16,4.5
,7576 W Washington St,Indiana's Finest Wrecker,IN,15,1.5
,7607 N Oracle Rd,Saffron Indian Bistro,AZ,527,4
,7629 38 Avenue NW,Aroma East Indian,AB,5,4
,7752 Moller Rd,Universal Windows Direct of Indianapolis,IN,18,2
,7753 E 89th St,Glass Doctor of Indianapolis,IN,15,4
,"7780 N Michigan Rd, Ste D",Indiana Therapeutic Massage School,IN,13,4.5
,7800 Col H Weir Cook Memorial,Budget Indianapolis Airport Rental Car,IN,32,1
,7800 Col H Weir Cook Memorial Dr,Indianapolis International Airport - IND,IN,947,4
,,TSA Checkpoint Concourse B - Indianapolis International Airport,IN,8,3
,7898 N Hague Rd,The Indianapolis Public Library,IN,10,3.5
,7916 Pendleton Pike,PT's Showclub Indianapolis,IN,18,3
,7940 N. Shadeland Ave.,Extended Stay America - Indianapolis - Castleton,IN,11,1.5
,"7995 W 21st St, Ste A",Bin There Dump That - Indianapolis,IN,13,4.5
,"8028 S Emerson Ave, Ste W and X",Noor Indian grocery & kitchen,IN,22,4
,8050 Township Line Rd,"St. Vincent Seton Specialty Hospital, Indianapolis",IN,5,1
,8060 N Shadeland Ave,Indiana Lighting Center,IN,8,2
,8070 Castleton Rd,College Hunks Hauling Junk & Moving - Indianapolis,IN,56,4
,"8102 Kingston St, Ste 500","Indianapolis Endodontics, PC",IN,5,4.5
,8105 Center Run Dr,CertaPro Painters of Indianapolis,IN,15,3.5
,8105 E. 96th Street,Regal UA Galaxy - Indianapolis,IN,123,3.5
,8110 N Shadeland Ave,Red Roof Inn Indianapolis - Castleton,IN,16,1.5
,8111 Bash St,Candlewood Suites Indianapolis,IN,19,3
,8112 Castleway Ct,Alloy Wheel Repair Specialists of Indianapolis,IN,28,4.5
,8130 Summit Hill Dr,Carvana Indianapolis,IN,18,3
,8132 Woodland Dr,Zerorez Indianapolis,IN,58,4.5
,8151 Allisonville Rd,Indiana Funeral Care,IN,15,4
,"8175 South Virginia St, Ste 800",Maya's South Indian Cuisine,NV,111,4.5
,8180 N Shadeland Ave,Drury Inn & Suites - Indianapolis,IN,55,4
,8208 107 Street NW,Indian Fusion - The Curry House,AB,73,4.5
,8229 E US Hwy 36,Comfort Inn Avon - North Indianapolis,IN,14,2.5
,"8240 Naab Rd, Ste 200",Urology of Indiana,IN,7,2
,8249 Dean Rd,Indianapolis Racquet Club,IN,7,4.5
,8300 Craig Street,Days Inn by Wyndham Indianapolis Off I-69,IN,19,1.5
,"8320 Brookville Rd, Ste E",Jay's Moving- Indianapolis,IN,19,2.5
,8330 N Michigan Rd,Indiana Bureau of Motor Vehicles - License,IN,24,3.5
,8356 Masters Rd,Defy Indianapolis,IN,54,4
,8375 Castleton Corner Dr,Urban Styles Furniture - Indianapolis,IN,154,3.5
,8410 N Michigan Rd,LL Flooring - North Indianapolis,IN,7,1.5
,"8433 Harcourt Rd, Ste 310",Dermatology Associates of Indiana,IN,6,3
,"8445 S Emerson Ave, Ste 100",Indiana Oral & Maxillofacial Surgery Associates,IN,7,4
,8468 Union Chapel Rd,TownePlace Suites by Marriott Indianapolis Keystone,IN,23,3.5
,"8487 Union Chapel Road, #620",Ideal Image Indianapolis,IN,17,2
,"8500 Keystone Crossing Blvd, Ste 155",Indianapolis Singles,IN,11,1.5
,"8500 Keystone Xing, Ste 150",20/20 Institute Indianapolis,IN,8,5
,8501 Harcourt Rd,Indiana Hand to Shoulder Center,IN,12,3.5
,8520 Northwest Blvd,Extended Stay America - Indianapolis - West 86th St.,IN,10,1.5
,8555 Stansted Rd,Holiday Inn Indianapolis Airport,IN,31,4
,8557 N River Rd,Diamonds Direct - Indianapolis,IN,81,4.5
,"8615 US 31 S, Ste A",Podiatry Associates of Indiana Foot and Ankle Institute,IN,5,3
,8647 W Washington St,Indianapolis Martial Arts Club,IN,14,2
,8660 E 21st St,Indiana State Police Museum,IN,8,4.5
,8670 Allisonville Rd,Courtyard by Marriott Indianapolis Castleton,IN,20,2.5
,8691 River Crossing Blvd.,Drybar - Indianapolis,IN,60,4.5
,8701 Col H Weir Cook Memorial Dr,USO Indianapolis Airport,IN,6,5
,"8701 Keystone Crossing, Ste 4A",The Cheesecake Factory - Indianapolis,IN,555,3
,"8701 Keystone Xing, Ste 118a",RH Indianapolis | The Gallery at The Fashion Mall at Keystone,IN,18,3.5
,8714 Castle Creek Pkwy E Dr,Joann - Indianapolis,IN,31,2.5
,8751 US 31 S,Paul Mitchell The School Indianapolis,IN,20,2.5
,8787 Keystone Crossing,Sheraton Indianapolis Hotel at Keystone Crossing,IN,141,2.5
,"8801 N Meridian St, Ste 300",Indianapolis Dental Designs,IN,5,3.5
,8811 Bash St,Overhead Door Co of Indianapolis,IN,12,4.5
,8888 Keystone Crossing,Indiana Air Duct Cleaning,IN,7,1.5
,8899 Kent Ave,Indianapolis Salt Cave And Halotherapy Center,IN,30,4.5
,8910 Hatfield Dr,Hilton Garden Inn Indianapolis Airport,IN,31,4
,8917 West Chester Pike,1st Indian Kitchen,PA,50,4.5
,"8925 N Meridian St, Ste 200",Laser and Skin Surgery Center of Indiana,IN,10,4.5
,8930 Wesleyan Rd,Home2 Suites by Hilton Indianapolis Northwest,IN,14,2.5
,8980 River Crossing Blvd,Hampton Inn & Suites Indianapolis-Keystone,IN,10,3.5
,9001 133rd Pl,Invisible Fence of Central Indiana,IN,6,4
,9020 Hatfield Dr,Hampton Inn & Suites Indianapolis-Airport,IN,27,3.5
,9030 Wesleyan Rd.,Extended Stay America - Indianapolis - Northwest - College Park,IN,13,2
